Product_name,Product_Wine_price1,Product_wine_size,Product_wine_id,Product_Number_review,Product_Alcohol_Vol,Product_Made_in,Product_By,Product_Sugar_content,Product_sweetness_descriptor,Product_Style,Product_Varietal,Product_Release_date
Mouton Cadet Bordeaux White AOC,$16.70,750 mL bottle |,LCBO#: 2527,"2.0
(1)",12.50%,"Bordeaux, France",Baron Philippe De Rothschild S.A.,2 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc/SÃ©millon,
Pisse-Dru Beaujolais,$15.45,750 mL bottle |,LCBO#: 2881,"4.0
(1)",12.50%,"Burgundy, France",Noemie Vernaux,3 g/L,XD - Extra Dry,Light-bodied & Fruity,Gamay,
Fontana Di Papa Red,$15.10,1500 mL bottle |,LCBO#: 3038,"4.7
(3)",12%,"Lazio, Italy",Fontana Di Papa S.R.L.,4 g/L,XD - Extra Dry,Light-bodied & Fruity,Blend,
Brights 74 Tawny,$9.55,750 mL bottle |,LCBO#: 4382,"5.0
(4)",18%,Canada,"Arterra Wines Canada, Inc.",119 g/L,S - Sweet,Sweet,Fortified Wine,
20 Bees Chardonnay VQA,$11.95,750 mL bottle |,LCBO#: 4705,0,12.50%,"Ontario, Canada",Diamond Estates Wines & Spirits Ltd,6 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Spumante Bambino,$16.95,1500 mL bottle |,LCBO#: 4762,"2.7
(30)",7%,Canada,"Arterra Wines Canada, Inc.",77 g/L,S - Sweet,Light & Fruity,Sparkling,
Aveleda Vinho Verde,$12.20,750 mL bottle |,LCBO#: 5322,"4.7
(6)",9.50%,"Vinho Verde, Portugal",Sociedade Agricola E. Comercial,15 g/L,D - Dry,Light & Crisp,Vinho Verde,
Folonari Valpolicella Classico DOC,$10.45,375 mL bottle |,LCBO#: 6254,"4.2
(5)",12.50%,"Veneto, Italy",Folonari S.P.A.,2 g/L,XD - Extra Dry,Light-bodied & Fruity,Valpolicella,
20 Bees Cabernet Merlot VQA,$12.95,750 mL bottle |,LCBO#: 6395,"3.3
(7)",12.20%,"Ontario, Canada",Diamond Estates Wines & Spirits Ltd,10 g/L,D - Dry,Medium-bodied & Fruity,Cabernet/Merlot,
KWV Roodeberg Red,$13.00,750 mL bottle |,LCBO#: 7187,"5.0
(5)",14%,South Africa,Kwv Sa (Pty) Ltd.,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Blend,
"Deinhard Green Label Riesling, Mosel",$11.95,750 mL bottle |,LCBO#: 8094,"4.0
(1)",10%,Germany,Deinhard & Co,27 g/L,M - Medium,Off-dry & Fruity,Riesling,
Mogen David Concord KP,$9.45,750 mL bottle |,VINTAGES#: 8789,"3.8
(6)",11%,"New York, USA",Franzia Brothers Winery,160 g/L,S - Sweet,Medium-bodied & Fruity,Red - Sweet,03-Apr-21
Rodet CdRhone AOC,$14.60,750 mL bottle |,LCBO#: 8979,0,14.50%,"RhÃ´ne, France",Antonin Rodet,4 g/L,XD - Extra Dry,Full-bodied & Smooth,RhÃ´ne,
Henkell Trocken Piccolo,$12.95,3 x 200 mL bottle |,LCBO#: 9118,"4.8
(6)",11.50%,Germany,Henkell & Sohnlein Sektkellereien,22 g/L,M - Medium,Light & Fruity,Sparkling,
Bouchard Aine & Fils Beaujolais Superieur,$12.95,750 mL bottle |,LCBO#: 9431,"5.0
(1)",13%,"Burgundy, France",Bouchard Aine Et Fils,4 g/L,XD - Extra Dry,Light-bodied & Fruity,Gamay,
Willm RÃ©serve Riesling,$19.95,750 mL bottle |,VINTAGES#: 11452,"5.0
(2)",12%,"Alsace, France",A. Willm,10 g/L,D - Dry,Aromatic & Flavourful,Riesling,01-Apr-21
Anselme La Fiole Du Pape Chateauneuf-Du-Pape AOC,$44.95,750 mL bottle |,LCBO#: 12286,"3.0
(12)",14.50%,"RhÃ´ne, France",Maison Brotte,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Grenache/Syrah,
Remy Pannier Rose D'Anjou AOC,$15.05,750 mL bottle |,LCBO#: 12641,"5.0
(4)",10.50%,"Loire, France",Remy-Pannier S.A.,16 g/L,D - Dry,Easygoing & Fruity,Cabernet Franc,
Sogrape Mateus Rose,$18.05,1500 mL bottle |,LCBO#: 12781,"4.6
(5)",11%,Portugal,Sogrape,18 g/L,D - Dry,Soft & Off-dry,RosÃ©,
Sperone Cremovo Marsala Fine DOC,$14.95,750 mL bottle |,LCBO#: 12971,0,16%,"Sicily, Italy",Giacomo Sperone,182 g/L,S - Sweet,Sweet,Dessert Wine,
Williams & Humbert Dry Sack Sherry,$12.95,750 mL bottle |,Save $1.50,"3.0
(1)",19.50%,Spain,Vicentin,28 g/L,M - Medium,Dry,Dry Sherry,
Henry of Pelham Pinot Noir VQA,$17.95,750 mL bottle |,LCBO#: 13904,"4.8
(4)",12.50%,"Ontario, Canada",Henry Of Pelham Family Est. Winery,8 g/L,D - Dry,Medium-bodied & Fruity,Pinot Noir,
Velletri Le Contrade Red IGP,$19.15,2000 mL bottle |,LCBO#: 14878,"5.0
(1)",12%,"Lazio, Italy",Soc. Agr. Veliterna Vini S.R.L,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Blend,
Sogrape Grao Vasco Dao,$9.60,750 mL bottle |,LCBO#: 14977,"3.8
(4)",13%,"DÃ£o, Portugal",Vinicola Do Vale Do Dao Lda,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,DAO,
3 Rings Shiraz 2018,$17.95,750 mL bottle |,VINTAGES#: 15495,"5.0
(1)",13.50%,"South Australia, Australia",The Arh Australian Wine Company Pty,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Shiraz/Syrah,08-Jan-22
Yellowglen Pink Sparkling,$12.70,750 mL bottle |,LCBO#: 15867,"5.0
(2)",11%,Australia,Treasury Wine Estates,26 g/L,M - Medium,Light & Fruity,RosÃ©,
Moselland Bernkasteler Kurfurstlay Riesling,$11.95,750 mL bottle |,LCBO#: 15875,"4.5
(4)",10%,"Mosel, Germany",Moselland Eg,31 g/L,M - Medium,Off-dry & Fruity,Riesling,
Wolf Blass Yellow Label Cabernet Sauvignon,$9.95,375 mL bottle |,LCBO#: 15941,"3.9
(7)",14%,Australia,Mildara Blass Limited,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Brights 74 Tawny,$13.25,1000 mL bottle |,LCBO#: 16139,"5.0
(4)",18%,Canada,"Arterra Wines Canada, Inc.",119 g/L,S - Sweet,Sweet,Fortified Wine,
Peller Family Vineyards Cabernet Merlot,$10.95,1000 mL tetra |,Save $1.00,"2.8
(6)",12.50%,Canada,Andrew Peller Limited,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Blend,
Peller Family Vineyards Chardonnay,$11.95,1000 mL tetra |,LCBO#: 16352,"4.0
(2)",12%,Canada,Andrew Peller Limited,6 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Peller Family Vineyards Pinot Grigio,$11.95,1000 mL tetra |,LCBO#: 16394,"5.0
(3)",12%,Canada,Andrew Peller Limited,7 g/L,D - Dry,Light & Crisp,Pinot Grigio,
JJ McWilliam Shiraz Cabernet,$12.00,750 mL bottle |,LCBO#: 16741,0,13.50%,Australia,Mcwilliam's Wines Group Ltd.,9 g/L,D - Dry,Full-bodied & Smooth,Shiraz/Cabernet Sauvignon,
Bolla Valpolicella Classico,$15.95,750 mL bottle |,LCBO#: 16840,"4.5
(2)",12.50%,"Veneto, Italy",Fratelli Bolla S.P.A.,3 g/L,XD - Extra Dry,Medium-bodied & Fruity,Valpolicella,
Citra Pinot Grigio Terre Di Chieti IGP,$9.95,750 mL bottle |,LCBO#: 17483,0,12.50%,"Abruzzo, Italy",Consorzio Cooperative Riunite,4 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Peller Estates Private Reserve Vidal Icewine,$24.95,200 mL bottle |,Save $3.00,"5.0
(1)",11.50%,"Ontario, Canada",Andrew Peller Limited,184 g/L,S - Sweet,Lusciously Sweet,Icewine,01-Apr-21
The Vinecrafter Chenin Blanc,$10.95,750 mL bottle |,LCBO#: 18689,"5.0
(3)",12.50%,South Africa,Kwv Sa (Pty) Ltd.,6 g/L,D - Dry,Light & Crisp,Chenin Blanc,
AndrÃ¨s Fine Old Apera,$9.55,750 mL bottle |,LCBO#: 19265,"5.0
(2)",20%,Canada,Andrew Peller Limited,94 g/L,S - Sweet,Sweet,Fortified Wine,
Brights Classic Cream,$9.95,750 mL bottle |,LCBO#: 19273,0,20%,Canada,"Arterra Wines Canada, Inc.",114 g/L,S - Sweet,,Fortified Wine,
Jacob's Creek Shiraz Cabernet Sauvignon,$23.95,1500 mL bottle |,LCBO#: 19612,"5.0
(2)",14%,Australia,Jacobs Creek Wines,8 g/L,D - Dry,Full-bodied & Smooth,Shiraz/Cabernet Sauvignon,
Fontanafredda Barolo DOCG,$32.95,750 mL bottle |,LCBO#: 20214,"4.8
(5)",14%,"Piedmont, Italy",Fontanafredda,2 g/L,XD - Extra Dry,Full-bodied & Firm,Nebbiolo,
G.A. Schmitt Winzertanz,$15.25,1500 mL bottle |,LCBO#: 20263,"5.0
(1)",9%,Germany,Gustav Adolf Schmitt'Sches Weingut,33 g/L,M - Medium,Off-dry & Fruity,Blend,
Manischewitz Blackberry K,$8.95,750 mL bottle |,VINTAGES#: 22038,0,11%,"New York, USA",E. & J. Gallo Winery,176 g/L,S - Sweet,Sweet,Red - Sweet,03-Apr-21
Jackson-Triggs Pinot Grigio,$18.95,1500 mL bottle |,LCBO#: 22327,"4.8
(4)",12.10%,"Ontario, Canada",Jackson-Triggs Winery,5 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Chateau de Gourgazaud Minervois AOC,$14.50,750 mL bottle |,LCBO#: 22384,"5.0
(1)",14%,France,Chateau Du Gourgazaud,5 g/L,XD - Extra Dry,Full-bodied & Smooth,Blend,
Sandeman Ruby Port,$16.00,750 mL bottle |,LCBO#: 23366,0,19.50%,Portugal,Geo. G. Sandeman Sons & Co. Ltd,96 g/L,S - Sweet,Sweet,Ruby Port,
Santa Rita 120 Reserva Especial Sauvignon Blanc,$11.95,750 mL bottle |,LCBO#: 23606,"5.0
(2)",13.50%,Chile,Vina Santa Rita,3 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,
Thirty Bench Winemaker's Blend Riesling,$22.95,750 mL bottle |,VINTAGES#: 24133,"5.0
(2)",11.10%,"Ontario, Canada",Andrew Peller Limited,18 g/L,M - Medium,Aromatic & Flavourful,Riesling,01-Apr-21
Fazi Battaglia Verdicchio Dei Castelli Di Jesi DOC,$13.00,750 mL bottle |,LCBO#: 24422,"5.0
(4)",12.50%,"Marche, Italy",Casa Vinicola Fazi-Battaglia Titulu,4 g/L,XD - Extra Dry,Light & Crisp,Verdicchio,
Stone's Green Ginger,$11.45,750 mL bottle |,LCBO#: 24828,"4.5
(8)",13%,Canada,Andrew Peller Limited,218 g/L,S - Sweet,Bold & Spicy,Aperitif Wine,
Wincarnis Aperitif Wine,$10.25,750 mL bottle |,LCBO#: 24984,"4.0
(1)",18%,"England, United Kingdom",Ian Macleod & Co. Ltd.,145 g/L,S - Sweet,Sweet,Aperitif,
Fonseca Periquita Red,$11.00,750 mL bottle |,LCBO#: 25262,"4.5
(4)",13.50%,"SetÃºbal, Portugal",Jose Maria Da Fonseca,11 g/L,D - Dry,Full-bodied & Firm,Blend,
Folonari Valpolicella Classico DOC,$25.45,1500 mL bottle |,LCBO#: 26278,"4.2
(5)",12.50%,"Veneto, Italy",Folonari S.P.A.,2 g/L,XD - Extra Dry,Light-bodied & Fruity,Valpolicella,
Danzante Pinot Grigio Delle Venezie IGT,$15.10,750 mL bottle |,LCBO#: 26906,"5.0
(5)",12%,"Veneto, Italy",Luce,5 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Flat Roof Manor Pinot Grigio,$11.95,750 mL bottle |,LCBO#: 27128,"5.0
(2)",13%,South Africa,Distillers Corporation Limited,11 g/L,D - Dry,Light & Crisp,Pinot Grigio,
Casa Dos Vinhos 5 Years Old Madeira,$20.55,750 mL bottle |,LCBO#: 27375,0,19%,Portugal,Casa Dos Vinhos Da Madeira Lda.,119 g/L,S - Sweet,Sweet,Madeira,
J. Lohr Los Osos Merlot,$22.95,750 mL bottle |,VINTAGES#: 27516,0,13.50%,"California, USA",J Lohr Winery,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,Merlot Blend,01-Apr-21
Ruffino Il Ducale Toscana IGP,$19.95,750 mL bottle |,LCBO#: 27797,0,14.50%,"Tuscany, Italy",Ruffino S.R.L.,7 g/L,D - Dry,Medium-bodied & Fruity,Sangiovese,
Masi Modello Merlot Trevenezie IGT,$25.00,1500 mL bottle |,LCBO#: 27854,"5.0
(1)",12%,"Venezie, Italy",Masi Agricola S.P.A.,6 g/L,D - Dry,Full-bodied & Smooth,Merlot Blend,
Dalton Safsufa Vineyards Cabernet Sauvignon KPM,$28.00,750 mL bottle |,VINTAGES#: 28266,0,13.50%,"Galilee, Israel",Dalton Winery Ltd.,2 g/L,D - Dry,Medium-bodied & Fruity,Cabernet Sauvignon,03-Apr-21
Fat Bastard Cabernet Sauvignon Pays D'OC,$12.95,750 mL bottle |,Save $2.00,"5.0
(2)",13%,"South of France, France",Gabriel Meffre S.A.,4 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Cantine Due Palme Canonico Negroamaro Salento IGP,$20.25,2000 mL bottle |,LCBO#: 28647,0,12.50%,"Puglia, Italy",Cantine Due Palme,12 g/L,D - Dry,Medium-bodied & Fruity,Negroamaro,
Misterio Malbec,$9.95,750 mL bottle |,LCBO#: 28803,"4.3
(6)",13.50%,Argentina,Finca Flichman,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Malbec,
Ciao Sangiovese Organic Terra De Chieti IGP,$12.80,1000 mL tetra |,LCBO#: 29090,"5.0
(3)",13%,"Puglia, Italy",Cantine Luigi Sgarzi,8 g/L,D - Dry,Light-bodied & Fruity,Sangiovese,
Chateau Timberlay Bordeaux Superieur AOC,$17.95,750 mL bottle |,LCBO#: 30072,"3.6
(9)",14.50%,"Bordeaux, France",Domaines Robert Giraud,2 g/L,XD - Extra Dry,Full-bodied & Firm,Merlot/Cabernet Sauvignon,
Concha y Toro Winemaker's Lot 148 CarmenÃ¨re,$15.95,750 mL bottle |,Save $3.00,"5.0
(2)",14%,"Rapel Valley, Chile",Concha Toro S.A.,2 g/L,XD - Extra Dry,Full-bodied & Firm,CarmenÃ¨re Blend,01-Apr-21
Ruffino Orvieto Classico,$13.25,750 mL bottle |,LCBO#: 31062,"4.5
(2)",12.50%,"Umbria, Italy",Ruffino S.R.L.,13 g/L,D - Dry,Light & Crisp,Blend,
Osborne Santa Maria Cream Sherry,$13.95,750 mL bottle |,LCBO#: 31120,0,19%,Spain,Osborne Y Cia,116 g/L,S - Sweet,Sweet,Cream Sherry,
Mommessin Export St Pierre Rouge,$15.45,1500 mL bottle |,LCBO#: 31211,"4.0
(1)",12%,France,Mommessin S.A.,3 g/L,XD - Extra Dry,Light-bodied & Fruity,Blend,
Calvet RÃ©serve des Remparts Saint-Ã‰milion,$23.95,750 mL bottle |,VINTAGES#: 31898,"1.5
(2)",13.50%,"Bordeaux, France",J. Calvet & Cie - Bordeaux,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Merlot,01-Apr-21
Fantini Sangiovese IGT,$15.10,1500 mL bottle |,LCBO#: 31971,"4.5
(22)",13%,"Puglia, Italy",Fantini Group Vini Srl,9 g/L,D - Dry,Medium-bodied & Fruity,Sangiovese,
Liebfraumilch Drathen Qualitatswein Rheinhessen,$11.45,1000 mL bottle |,LCBO#: 32631,"4.5
(2)",9.50%,"Rheinhessen, Germany",Ewald Theod. Drathen Kg,43 g/L,MS - Medium Sweet,Off-dry & Fruity,Blend,
Marques De Riscal Rioja Reserva,$25.80,750 mL bottle |,LCBO#: 32656,0,14%,"Rioja, Spain",Vinos De Los Herederos Del,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Rioja,
Folonari Pinot Noir IGT,$16.70,750 mL bottle |,LCBO#: 32888,0,12.50%,"Veneto, Italy",Folonari S.P.A.,2 g/L,XD - Extra Dry,Light-bodied & Fruity,Pinot Noir,
Collavini Pinot Grigio,$14.95,750 mL bottle |,LCBO#: 33340,"4.6
(5)",12.50%,"Veneto, Italy",Eugenio Collavini Viticoltori S.R.L,4 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Chateau Puyfromage Francs Cotes De Bordeaux AOC,$15.35,750 mL bottle |,Save $2.00,0,14%,"Bordeaux, France",Sce Du Chateau Puyfromage,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Merlot/Cabernet Sauvignon/Cabernet Franc,
La Vieille Ferme Luberon Blanc AOC,$22.45,1500 mL bottle |,LCBO#: 34991,"5.0
(2)",13%,France,Perrin & Fils,2 g/L,XD - Extra Dry,Aromatic & Flavourful,RhÃ´ne,
Pascual Toso Malbec,$15.05,750 mL bottle |,LCBO#: 35170,"5.0
(1)",14.50%,Argentina,Pascual Toso,3 g/L,XD - Extra Dry,Full-bodied & Smooth,Malbec,
Kopke Fine Ruby Port,$15.70,750 mL bottle |,LCBO#: 35766,"4.7
(6)",19.50%,Portugal,C.N. Kopke & Co Ltd,98 g/L,S - Sweet,Sweet,Ruby Port,
Torres Gran Coronas Reserva Cabernet Sauvignon,$19.95,750 mL bottle |,VINTAGES#: 36483,"4.7
(9)",13.50%,"PenedÃ¨s, Spain","Miguel Torres S.A.,",2 g/L,XD - Extra Dry,Full-bodied & Smooth,Cabernet Sauvignon,01-Apr-21
Marques De Riscal Rueda DO,$14.50,750 mL bottle |,LCBO#: 36822,"4.4
(5)",13%,"Rueda, Spain",Vinos De Los Herederos Del,2 g/L,XD - Extra Dry,Light & Crisp,Blend,
Folonari Soave DOC,$20.45,1500 mL bottle |,LCBO#: 37028,"5.0
(1)",12%,"Veneto, Italy",Folonari S.P.A.,2 g/L,XD - Extra Dry,Light & Crisp,Soave,
Fontana Di Papa Red,$19.85,2000 mL bottle |,LCBO#: 37184,"4.7
(3)",12%,"Lazio, Italy",Fontana Di Papa S.R.L.,4 g/L,XD - Extra Dry,Light-bodied & Fruity,Blend,
Negrar Valpolicella DOC,$21.90,1500 mL bottle |,LCBO#: 38026,0,12%,"Veneto, Italy",Cantina Sociale Valpolicella,5 g/L,XD - Extra Dry,Medium-bodied & Fruity,Valpolicella,
Vineland Estates Elevation St. Urban Vineyard Riesling,$19.95,750 mL bottle |,VINTAGES#: 38117,"5.0
(4)",8.40%,"Ontario, Canada",Vineland Estate Wines Limited,37 g/L,MS - Medium Sweet,Aromatic & Flavourful,Riesling,01-Apr-21
ChÃ¢teau des Charmes Cabernet Merlot VQA,$7.50,375 mL bottle |,LCBO#: 38810,0,12.60%,"Ontario, Canada",Chateau Des Charmes,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Cabernet/Merlot,
Cune Crianza 2018,$15.95,750 mL bottle |,VINTAGES#: 39925,0,13.50%,"Rioja, Spain",CompaÃ±Ã­a VinÃ­cola del Norte de EspaÃ±a,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Tempranillo Blend,08-Jan-22
Henkell Trocken,$10.50,375 mL bottle |,LCBO#: 40469,"4.8
(6)",11.50%,Germany,Henkell & Sohnlein Sektkellereien,22 g/L,M - Medium,Light & Fruity,Sparkling,
Woodbridge By Robert Mondavi Sauvignon Blanc,$13.95,750 mL bottle |,LCBO#: 40501,"4.3
(31)",12.50%,USA,Robert Mondavi Winery,7 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,
ChÃ¢teau de Nages Heritage CostiÃ¨res de NÃ®mes 2019,$20.95,750 mL bottle |,VINTAGES#: 40964,"4.5
(2)",15%,"RhÃ´ne, France",Famille Gassier,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Grenache Blend,11-Dec-21
Ruffino Chianti,$26.95,1500 mL bottle |,Save $2.00,"3.4
(5)",12.50%,"Tuscany, Italy",Ruffino S.R.L.,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Chianti,
Flat Rock Riesling,$17.95,750 mL bottle |,VINTAGES#: 43281,0,11%,"Ontario, Canada",Flat Rock Cellars,20 g/L,M - Medium,Aromatic & Flavourful,Riesling,01-Apr-21
Folonari Pink Pinot Grigio Venezia IGT,$12.65,750 mL bottle |,LCBO#: 43588,"5.0
(4)",11.50%,"Trentino, Italy",Folonari S.P.A.,9 g/L,D - Dry,Easygoing & Fruity,RosÃ©,
Negrar Amarone Classico DOCG,$31.90,750 mL bottle |,LCBO#: 44784,"4.7
(3)",15.50%,"Veneto, Italy",Cantina Sociale Valpolicella,10 g/L,D - Dry,Full-bodied & Smooth,Amarone,
Ruffino Chianti Classico Riserva Ducale,$25.95,750 mL bottle |,LCBO#: 45195,"4.5
(2)",14%,"Tuscany, Italy",Ruffino,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Sangiovese/Cabernet Sauvignon/Merlot,25-Oct-19
Beringer Founders' Estate Pinot Grigio,$14.95,750 mL bottle |,Save $2.00,0,12%,USA,Beringer Vineyards,2 g/L,XD - Extra Dry,Light & Crisp,Pinot Grigio,
Taylor Fladgate Late Bottled Vintage Port,$19.20,750 mL bottle |,LCBO#: 46946,"3.9
(7)",20%,Portugal,"Taylor, Fladgate & Yeatman",95 g/L,S - Sweet,Sweet,Late Bottled Vintage Port,
Fontana Di Papa White,$19.85,2000 mL bottle |,LCBO#: 48140,"3.0
(2)",11%,"Lazio, Italy",Fontana Di Papa S.R.L.,2 g/L,XD - Extra Dry,Light & Crisp,Blend,
Woodbridge By Robert Mondavi Cabernet Sauvignon,$13.95,750 mL bottle |,LCBO#: 48611,"4.3
(77)",13.50%,"California, USA",Robert Mondavi Winery,8 g/L,D - Dry,Full-bodied & Smooth,Cabernet Sauvignon,
Louis Bouillot Perle d'Aurore Brut RosÃ© CrÃ©mant de Bourgogne,$22.95,750 mL bottle |,VINTAGES#: 48793,"5.0
(3)",12%,"Burgundy, France",Louis Bouillot,9 g/L,D - Dry,Medium-bodied & Flavourful,Sparkling - Dry,01-Apr-21
Beronia Reserva,$21.95,750 mL bottle |,VINTAGES#: 50203,"4.1
(7)",14%,"Rioja, Spain",Gonzalez Byass & Co.,3 g/L,XD - Extra Dry,Medium-bodied & Fruity,Tempranillo,01-Apr-21
Chanson RÃ©serve du Bastion Bourgogne Pinot Noir,$24.95,750 mL bottle |,VINTAGES#: 50575,"5.0
(4)",12.50%,"Burgundy, France",Chanson Pere & Fils,2 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,01-Apr-21
Bouchard PÃ¨re & Fils Petit Chablis,$27.95,750 mL bottle |,LCBO#: 51466,"5.0
(1)",13%,"Burgundy, France",Bouchard Pere & Fils,2 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Bouchard PÃ¨re & Fils Macon-Lugny Saint-Pierre,$23.95,750 mL bottle |,LCBO#: 51573,"4.0
(1)",13%,"Burgundy, France",Bouchard Pere & Fils,4 g/L,XD - Extra Dry,Light & Crisp,Chardonnay,
Peninsula Ridge Sauvignon Blanc VQA,$15.95,750 mL bottle |,LCBO#: 53678,"5.0
(1)",13.30%,"Ontario, Canada",Peninsula Ridge Estates Winery,2 g/L,XD - Extra Dry,Light & Crisp,Sauvignon Blanc,
Jaffelin Bourgogne Aligote AOC,$18.45,750 mL bottle |,LCBO#: 53868,"4.0
(1)",12.50%,"Burgundy, France",Maison Jaffelin,2 g/L,XD - Extra Dry,Light & Crisp,Burgundy,
Villa Antinori Toscana IGT,$25.15,750 mL bottle |,LCBO#: 53876,"5.0
(1)",13.50%,"Tuscany, Italy",Marchesi Antinori S.P.A.,2 g/L,XD - Extra Dry,Full-bodied & Smooth,Sangiovese,
Barefoot Pinot Grigio,$10.95,750 mL bottle |,LCBO#: 53983,"4.3
(840)",12%,"California, USA",E. & J. Gallo Winery,9 g/L,D - Dry,Light & Crisp,Pinot Grigio,
Barefoot Merlot,$10.95,750 mL bottle |,LCBO#: 53991,"4.7
(3)",13.50%,"California, USA",E. & J. Gallo Winery,9 g/L,D - Dry,Medium-bodied & Fruity,Merlot,
Stoneleigh Marlborough Pinot Noir,$19.95,750 mL bottle |,LCBO#: 54353,"2.3
(3)",12%,New Zealand,Pernod Ricard Pacific Pty Ltd,4 g/L,XD - Extra Dry,Medium-bodied & Fruity,Pinot Noir,
